Howie Long,Fall 2016,100
Destiny Childs,Fall 2016,87
Paul McCartney,Fall 2016,77
John Lennon,Fall 2016,80
George Harrison,Fall 2016,75
Ringo Starr,Fall 2016,89
JJ Abrams,Spring 2016,71
Sydney Bristow,Spring 2016,76
Olivia Dunham,Spring 2016,87
Walter Bishop,Spring 2016,71
Peter Bishop,Spring 2016,88
Astrid Farnsworth,Spring 2016,89
Nina Sharp,Spring 2016,72
Pillip Broyles,Spring 2016,91
Amy Jessup,Spring 2016,79
Charlie Franco,Spring 2016,94
John Scott,Spring 2016,86
Rachel Dunham,Spring 2016,94
Howard Wolowitz,Fall 2016,92
Sheldon Cooper,Fall 2016,83
Leonard Hofstadter,Fall 2016,96
Amy Farrah-Fowler,Fall 2016,88
Raj Koothrappali,Fall 2016,87
Bernadette Rostenkowski,Fall 2016,90
Penny Hofstadter,Fall 2016,84
Harrison Ford,Fall 2016,99
Mark Hamill,Fall 2016,89
Alec Guinness,Fall 2016,84
Peter Cushing,Fall 2016,88
Peter Mayhew,Fall 2016,80
Carrie Fisher,Fall 2016,90
Daisy Ridley,Fall 2016,95
John Boyega,Fall 2016,96
Adam Driver,Fall 2016,93
Oscar Isaac,Fall 2016,84
Andy Serkis,Fall 2016,94
Lupita Nyong'o,Fall 2016,91
Domhnall Gleeson,Fall 2016,87
Jamie Hyneman,Spring 2016,98
Adam Savage,Spring 2016,85
Grant Imahara,Spring 2016,96
Daniel Drew,Spring 2016,100
Tory Belleci,Spring 2016,61
Kari Byron,Spring 2016,97
Tanner Foust,Spring 2016,97
Adam Ferrara,Spring 2016,86
Rutledge Wood,Spring 2016,84
Tiki Barber,Spring 2016,87
